category,name,object,scene,x,y,schema,objectIndex,npcId,spriteI,dropType,size,keyUse,groupCount,target,targetBis,linkedTorch,objectiveCleared,destination,statsId,level,skillId,moduleId,container,destI,tier,keyId,pickup,npcToFreeCount,duration,torchGroupCount,isStartCheckpoint,torchesCount,dropXp
crystal_npcs,Blacksmith,Blacksmith,Overworld,-0.91,28.99,CrystalNpc,52625,3,8,,,,,,,,,,,,,,,,,,,,,,,,
crystal_npcs,MercantHub,MercantHub,Overworld,-59,37,CrystalNpc,52635,6,9,,,,,,,,,,,,,,,,,,,,,,,,
crystal_npcs,Bard,Bard,Overworld,80,-263.47,CrystalNpc,52645,19,10,,,,,,,,,,,,,,,,,,,,,,,,
red_coin_jars,big crystal,OverworldDestroyable397,Overworld,-108,69,Jar,53440,,12,3,2,,,,,,,,,,,,,,,,,,,,,,
red_coin_jars,big crystal,OverworldDestroyable403,Overworld,-58,54,Jar,53458,,12,3,2,,,,,,,,,,,,,,,,,,,,,,
red_coin_jars,big crystal,OverworldDestroyable410,Overworld,94,-68,Jar,53479,,0,3,1,,,,,,,,,,,,,,,,,,,,,,
red_coin_jars,big crystal,OverworldDestroyable411,Overworld,90.67,-65.81,Jar,53482,,2,3,1,,,,,,,,,,,,,,,,,,,,,,
red_coin_jars,big crystal,OverworldDestroyable418,Overworld,-30,-116,Jar,53503,,12,3,2,,,,,,,,,,,,,,,,,,,,,,
red_coin_jars,big crystal,OverworldDestroyable422,Overworld,104.03,-62.29,Jar,53515,,2,3,1,,,,,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker0,Overworld,92,-6,Unlocker,54883,,,,,0,0,54492,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker1,Overworld,89,61.01,Unlocker,54892,,,,,0,0,53795,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker2,Overworld,58,2,Unlocker,54901,,,,,0,0,54495,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker3,Overworld,46,35,Unlocker,54910,,,,,0,0,53738,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker4,Overworld,54,78,Unlocker,54919,,,,,0,0,53828,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker5,Overworld,70,68,Unlocker,54928,,,,,0,0,53748,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker6,Overworld,-22,6,Unlocker,54937,,,,,0,0,53858,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker7,Overworld,-18,133,Unlocker,54946,,,,,0,0,54562,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker8,Overworld,178.07,12.04,Unlocker,54956,,,,,0,0,53815,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker9,Overworld,118,0,Unlocker,54965,,,,,0,0,53802,-1,,,,,,,,,,,,,,,,,,
