category,name,object,scene,x,y,schema,objectIndex,size,tier,spriteI
enemies,Enemy,Overworld 000 StrollerT1 S1,Overworld,38,4,Enemy,58001,1,1,44
enemies,Enemy,Overworld 001 StrollerT1 S1,Overworld,52,-1,Enemy,58005,1,1,44
enemies,Enemy,Overworld 002 StrollerT1 S1,Overworld,38,0,Enemy,58009,1,1,44
enemies,Enemy,Overworld 003 StrollerT1 S1,Overworld,52,5,Enemy,58013,1,1,44
enemies,Enemy,Overworld 004 StrollerT1 S1,Overworld,80,2,Enemy,58018,1,1,44
enemies,Enemy,Overworld 005 StrollerT1 S1,Overworld,73,13,Enemy,58022,1,1,44
enemies,Enemy,Overworld 006 StrollerT1 S1,Overworld,32,-21,Enemy,58027,1,1,44
enemies,Enemy,Overworld 007 ShooterT1 S1 Sniper,Overworld,41,-26.1,Enemy,58031,1,1,45
enemies,Enemy,Overworld 008 StrollerT1 S1,Overworld,50,-21,Enemy,58036,1,1,44
enemies,Enemy,Overworld 009 StrollerT1 S1,Overworld,34,-21,Enemy,58040,1,1,44
enemies,Enemy,Overworld 010 StrollerT1 S1,Overworld,48,-21,Enemy,58044,1,1,44
enemies,Enemy,Overworld 011 StrollerT1 S1,Overworld,41,-18,Enemy,58048,1,1,44
enemies,Enemy,Overworld 012 StrollerT1 S1,Overworld,41,-33,Enemy,58052,1,1,44
enemies,Enemy,Overworld 013 StrollerT1 S1,Overworld,-42,46,Enemy,58057,1,1,44
enemies,Enemy,Overworld 014 StrollerT1 S1,Overworld,-49,43,Enemy,58061,1,1,44
enemies,Enemy,Overworld 015 StrollerT1 S1,Overworld,-47,34,Enemy,58065,1,1,44
enemies,Enemy,Overworld 016 StrollerT1 S1,Overworld,-46,24,Enemy,58069,1,1,44
enemies,Enemy,Overworld 017 StrollerT1 S1,Overworld,-38,24,Enemy,58073,1,1,44
enemies,Enemy,Overworld 018 StrollerT1 S1,Overworld,28,56,Enemy,58078,1,1,44
enemies,Enemy,Overworld 019 StrollerT1 S1,Overworld,36,52,Enemy,58082,1,1,44
enemies,Enemy,Overworld 020 DoublerT1 S1 Solid Static,Overworld,56.4,60,Enemy,58087,1,1,46
enemies,Enemy,Overworld 021 DoublerT1 S1 Solid Static,Overworld,56.4,57,Enemy,58095,1,1,46
enemies,Enemy,Overworld 022 DoublerT1 S1 Solid Static,Overworld,56.4,54,Enemy,58103,1,1,46
enemies,Enemy,Overworld 023 StrollerT1 S1,Overworld,54,28,Enemy,58112,1,1,44
enemies,Enemy,Overworld 024 StrollerT1 S1,Overworld,56,45,Enemy,58116,1,1,44
enemies,Enemy,Overworld 025 CreeperT2 S1 Crazy,Overworld,-215,13,Enemy,58121,1,2,47
enemies,Enemy,Overworld 026 CreeperT2 S1 Crazy,Overworld,-225,13,Enemy,58134,1,2,47
enemies,Enemy,Overworld 027 CreeperT2 S1 Crazy,Overworld,-185,3,Enemy,58148,1,2,47
enemies,Enemy,Overworld 028 CreeperT2 S1 Crazy,Overworld,-195,3,Enemy,58161,1,2,47
enemies,Enemy,Overworld 029 CreeperT2 S1 Crazy,Overworld,-187,13,Enemy,58174,1,2,47
enemies,Enemy,Overworld 030 CreeperT2 S1 Crazy,Overworld,-175,12,Enemy,58187,1,2,47
