category,name,object,scene,x,y,schema,objectIndex,spriteI
pickups_remaining,Pickup,OverworldEnergy0,Overworld,-41.96,16,Pickup,56259,17
pickups_remaining,Pickup,OverworldEnergy1,Overworld,-50.5,-34,Pickup,56278,17
pickups_remaining,Pickup,OverworldEnergy2,Overworld,18,-22,Pickup,56297,17
pickups_remaining,Pickup,OverworldEnergy3,Overworld,-108,108,Pickup,56316,17
pickups_remaining,Pickup,OverworldEnergy4,Overworld,65,114,Pickup,56335,17
pickups_remaining,Pickup,OverworldHp0,Overworld,118,6,Pickup,56354,18
pickups_remaining,Pickup,OverworldHp1,Overworld,73,-17,Pickup,56370,18
pickups_remaining,Pickup,OverworldHp2,Overworld,42,55.73,Pickup,56386,18
pickups_remaining,Pickup,OverworldHp3,Overworld,42,-180,Pickup,56402,18
pickups_remaining,Pickup,OverworldHp4,Overworld,91,168,Pickup,56418,18
pickups_remaining,Pickup,OverworldHp5,Overworld,-143,158,Pickup,56434,18
pickups_remaining,Pickup,OverworldHp6,Overworld,72,-106,Pickup,56450,18
pickups_remaining,Pickup,OverworldHp7,Overworld,-1,55.05,Pickup,56466,18
pickups_remaining,Pickup,OverworldHp8,Overworld,-126,196,Pickup,56482,18
pickups_remaining,Pickup,OverworldHp9,Overworld,205.15,-75.56,Pickup,56498,18
pickups_remaining,Pickup,OverworldHp10,Overworld,-178,-167,Pickup,56514,18
pickups_remaining,Pickup,OverworldHp11,Overworld,-176,-167,Pickup,56530,18
pickups_remaining,Pickup,OverworldHp12,Overworld,172,260,Pickup,56546,18
pickups_remaining,Pickup,OverworldHp13,Overworld,-2,-96,Pickup,56562,18
pickups_remaining,Pickup,OverworldHp14,Overworld,-275,134,Pickup,56578,18
pickups_remaining,Pickup,StatsPickupBulletNumber1,Overworld,-178.5,-164.13,Pickup,56595,19
pickups_remaining,Pickup,StatsPickupBulletNumber2,Overworld,-177.41,-164.13,Pickup,56618,20
pickups_remaining,Pickup,StatsPickupBulletNumber3,Overworld,-176.32,-164.13,Pickup,56641,21
pickups_remaining,Pickup,StatsPickupBulletNumber4,Overworld,-175.22,-164.13,Pickup,56664,22
pickups_remaining,Pickup,SkillBoost,Overworld,118,80,Pickup,56688,23
pickups_remaining,Pickup,MapPickupDesert,Overworld,-149.08,66.44,Pickup,56713,24
pickups_remaining,Pickup,MapPickupGreen,Overworld,89,37,Pickup,56735,24
pickups_remaining,Pickup,MapPickupSunkenCity,Overworld,-172,170,Pickup,56757,24
pickups_remaining,Pickup,LorePickup2,Overworld,-98.63,-256.95,Pickup,56779,25
pickups_remaining,Pickup,MapPickupBeach,Overworld,180,-24,Pickup,56799,24
pickups_remaining,Pickup,PickupModuleRetaliation,Overworld,39,-139,Pickup,56817,26
pickups_remaining,Pickup,PickupModuleTeleport,Overworld,-8,28,Pickup,56837,27
pickups_remaining,Pickup,PickupModuleCompass,Overworld,-10,28.28,Pickup,56857,28
pickups_remaining,Pickup,PickupModuleCollectableScan,Overworld,-12,28,Pickup,56877,29
pickups_remaining,Pickup,PickupModuleOvercharge,Overworld,235,-29,Pickup,56897,30
pickups_remaining,Pickup,PickupModuleIdolAlly,Overworld,-175,-167,Pickup,56917,31
pickups_remaining,Pickup,PickupModuleIdolBomb,Overworld,-179,-167,Pickup,56937,32
pickups_remaining,Pickup,PickupModuleIdolSlow,Overworld,-177,-167,Pickup,56957,33
pickups_remaining,Pickup,PickupModuleFreePower,Overworld,-174,-167,Pickup,56977,34
pickups_remaining,Pickup,OverworldScarabPickup0,Overworld,6.25,-42.85,Pickup,56998,35
pickups_remaining,Pickup,OverworldScarabPickup1,Overworld,78,-132,Pickup,57023,35
pickups_remaining,Pickup,OverworldScarabPickup2,Overworld,169.08,92.73,Pickup,57048,35
pickups_remaining,Pickup,OverworldScarabPickup3,Overworld,-171.87,180.2,Pickup,57073,35
pickups_remaining,Pickup,OverworldScarabPickup4,Overworld,-283,267,Pickup,57098,35
pickups_remaining,Pickup,OverworldScarabPickup5,Overworld,125.89,-49.08,Pickup,57123,35
pickups_remaining,Pickup,OverworldScarabPickup6,Overworld,231.73,36.33,Pickup,57148,35
pickups_remaining,Pickup,OverworldScarabPickup7,Overworld,-68,90,Pickup,57173,35
pickups_remaining,Pickup,CaveEnergy0,Cave,-654,-111,Pickup,84182,17
pickups_remaining,Pickup,CaveHp0,Cave,-552,48,Pickup,84201,18
pickups_remaining,Pickup,CaveHp1,Cave,-738,34,Pickup,84217,18
pickups_remaining,Pickup,CaveHp2,Cave,-704,90,Pickup,84233,18
pickups_remaining,Pickup,CaveHp3,Cave,-810,186,Pickup,84249,18
pickups_remaining,Pickup,CaveHp4,Cave,-810,-147,Pickup,84265,18
pickups_remaining,Pickup,CaveHp5,Cave,-718,23,Pickup,84281,18
pickups_remaining,Pickup,CaveHp6,Cave,-656,244,Pickup,84297,18
pickups_remaining,Pickup,CaveHp7,Cave,-648,86,Pickup,84313,18
pickups_remaining,Pickup,CaveBulletNumber0,Cave,-1002,-101,Pickup,84330,114
pickups_remaining,Pickup,LorePickup1,Cave,-650,-111,Pickup,84356,25
pickups_remaining,Pickup,LorePickup3,Cave,-477,146,Pickup,84376,25
pickups_remaining,Pickup,LorePickup4,Cave,-800,188,Pickup,84396,25
pickups_remaining,Pickup,MapPickupForest,Cave,-714,23,Pickup,84416,24
pickups_remaining,Pickup,MapPickupSwamp,Cave,-481,146,Pickup,84438,24
pickups_remaining,Pickup,MapPickupAbyss,Cave,-797.94,-114.41,Pickup,84460,24
pickups_remaining,Pickup,PickupModuleBoostCost,Cave,-716,22,Pickup,84482,115
pickups_remaining,Pickup,PickupModuleXpGain,Cave,-652,-111.52,Pickup,84502,116
