category,name,object,scene,x,y,schema,objectIndex,dropType,size,spriteI
red_coin_jars,big crystal,OverworldDestroyable397,Overworld,-108,69,Jar,53440,3,2,12
red_coin_jars,big crystal,OverworldDestroyable403,Overworld,-58,54,Jar,53458,3,2,12
red_coin_jars,big crystal,OverworldDestroyable410,Overworld,94,-68,Jar,53479,3,1,0
red_coin_jars,big crystal,OverworldDestroyable411,Overworld,90.67,-65.81,Jar,53482,3,1,2
red_coin_jars,big crystal,OverworldDestroyable418,Overworld,-30,-116,Jar,53503,3,2,12
red_coin_jars,big crystal,OverworldDestroyable422,Overworld,104.03,-62.29,Jar,53515,3,1,2
red_coin_jars,big crystal,CaveDestroyable212,Cave,-715,27.04,Jar,82776,3,1,11
red_coin_jars,big crystal,CaveDestroyable213,Cave,-716.89,27.08,Jar,82779,3,1,11
red_coin_jars,big crystal,CaveDestroyable268,Cave,-818,130.6,Jar,82944,3,2,12
red_coin_jars,big crystal,CaveDestroyable270,Cave,-826,130.6,Jar,82950,3,2,12
red_coin_jars,big crystal,CaveDestroyable272,Cave,-826.13,121.63,Jar,82956,3,2,12
red_coin_jars,big crystal,CaveDestroyable273,Cave,-817.81,121.63,Jar,82959,3,2,12
red_coin_jars,big crystal,CaveDestroyable292,Cave,-832,-125,Jar,83016,3,2,12
red_coin_jars,big crystal,CaveDestroyable307,Cave,-486,142,Jar,83061,3,1,11
red_coin_jars,big crystal,CaveDestroyable308,Cave,-472,142,Jar,83064,3,1,11
red_coin_jars,big crystal,CaveDestroyable309,Cave,-688,-83,Jar,83067,3,1,11
red_coin_jars,big crystal,CaveDestroyable310,Cave,-668,-83,Jar,83070,3,1,11
red_coin_jars,big crystal,CaveDestroyable311,Cave,-688,-91,Jar,83073,3,1,11
red_coin_jars,big crystal,CaveDestroyable312,Cave,-668,-91,Jar,83076,3,1,11
red_coin_jars,big crystals (65),CaveDestroyable323,Cave,-1012.13,-129.69,Jar,83114,6,3,13
red_coin_jars,big crystal,Dungeon2Destroyable117,Dungeon2,1022,260,Jar,112206,3,1,11
red_coin_jars,big crystal,Dungeon2Destroyable119,Dungeon2,1016,254,Jar,112212,3,1,11
red_coin_jars,big crystal,Dungeon2Destroyable120,Dungeon2,1022,256,Jar,112215,3,1,11
red_coin_jars,big crystal,Dungeon2Destroyable121,Dungeon2,1014,256,Jar,112218,3,1,11
red_coin_jars,big crystal,Dungeon2Destroyable123,Dungeon2,1016,258,Jar,112224,3,1,11
red_coin_jars,big crystal,Dungeon2Destroyable124,Dungeon2,1020,258,Jar,112227,3,1,11
red_coin_jars,big crystal,Dungeon2Destroyable127,Dungeon2,1016,262,Jar,112236,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable66,Dungeon3,834.64,-57.82,Jar,124692,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable70,Dungeon3,829,-58,Jar,124704,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable71,Dungeon3,829,-62,Jar,124707,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable72,Dungeon3,831,-60,Jar,124710,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable73,Dungeon3,829,-60,Jar,124713,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable74,Dungeon3,827,-60,Jar,124716,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable75,Dungeon3,897,64,Jar,124719,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable78,Dungeon3,899,55,Jar,124728,3,1,11
red_coin_jars,big crystal,Dungeon3Destroyable79,Dungeon3,899,53,Jar,124731,3,1,11
red_coin_jars,big crystal,Temple2Destroyable68,Temple2,-594,-472,Jar,140782,3,1,11
