category,name,object,scene,x,y,schema,objectIndex,spriteI
torches,Torch,TorchStandDungeon,Overworld,39,73,Torch,41984,4
torches,Torch,TorchStandDungeon (1),Overworld,45,73,Torch,42002,4
torches,Torch,TorchStandDungeon (2),Overworld,104,83,Torch,42024,4
torches,Torch,TorchStandDungeon (3),Overworld,104,77,Torch,42042,4
torches,Torch,FireCup,Overworld,-88.21,70.87,Torch,44616,5
torches,Torch,FireCup (1),Overworld,-91.81,70.87,Torch,44632,5
torches,Torch,FireCup,Overworld,-178.21,-75.53,Torch,46875,5
torches,Torch,FireCup (1),Overworld,-181.81,-75.53,Torch,46891,5
torches,Torch,FireCup,Overworld,119.66,109.57,Torch,47086,5
torches,Torch,FireCup (1),Overworld,116.06,109.57,Torch,47102,5
torches,Torch,Torch (6),Overworld,-65.51,21.25,Torch,50397,6
torches,Torch,Torch (7),Overworld,-62.71,21.32,Torch,50413,6
torches,Torch,Torch (8),Overworld,-86.89,33.06,Torch,50429,6
torches,Torch,Torch (9),Overworld,-93.37,33.06,Torch,50445,6
torches,Torch,TorchStandDungeon (2),Overworld,-111,-22.7,Torch,50462,4
torches,Torch,TorchStandDungeon (3),Overworld,-105,-22.7,Torch,50480,4
torches,Torch,Torch,Overworld,-41.07,-91.66,Torch,50499,6
torches,Torch,Torch (2),Overworld,-26,-104,Torch,50515,6
torches,Torch,Torch (3),Overworld,-21,-99,Torch,50531,6
torches,Torch,Torch (1),Overworld,-40,-99,Torch,50547,6
torches,Torch,Torch (4),Overworld,-28,-85,Torch,50563,6
torches,Torch,Torch (5),Overworld,-33.2,-85.2,Torch,50579,6
torches,Torch,Torch (6),Overworld,-34,-105,Torch,50595,6
torches,Torch,Torch (7),Overworld,-21,-90,Torch,50611,6
torches,Torch,Torch,Overworld,-254,61,Torch,50628,6
torches,Torch,Torch (9),Overworld,-250,61,Torch,50644,6
torches,Torch,Torch (1),Overworld,-254,22.8,Torch,50660,6
torches,Torch,Torch (2),Overworld,-250,22.8,Torch,50676,6
torches,Torch,Torch (1),Overworld,109,214.01,Torch,50693,6
torches,Torch,Torch (2),Overworld,119,214.01,Torch,50709,6
torches,Torch,Torch (3),Overworld,85,139.86,Torch,50725,6
torches,Torch,Torch (4),Overworld,95,139.86,Torch,50741,6
torches,Torch,Torch (5),Overworld,242.96,205.99,Torch,50757,6
torches,Torch,Torch (6),Overworld,252.96,205.99,Torch,50773,6
